"you've won! click here for your prize","phishing","correct","sklearn-v1"
"you have won! click here to unlock your gift!","phishing","correct","sklearn-v1"
"Hi Alex, your project has been approved","safe","correct","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"you've won! click here for your prize","safe","incorrect","sklearn-v1"
"Hi Alex, your project has been approved","phishing","incorrect","sklearn-v1"
"you've won! click here for your prize","phishing","correct","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"Your PayPal account has been limited","phishing","correct","sklearn-v1"
"Lunch at 1pm?","phishing","incorrect","sklearn-v1"
"you've won! click here for your prize","phishing","correct","sklearn-v1"
"Hi Alex, your project has been approved","phishing","incorrect","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"Your PayPal account has been limited","phishing","correct","sklearn-v1"
"Your PayPal account has been limited","phishing","correct","sklearn-v1"
"you've won! click here for your prize","phishing","correct","sklearn-v1"
"Hi Alex, your project has been approved","phishing","incorrect","sklearn-v1"
"Umeshinda pesa kutoka Airtel","phishing","correct","sklearn-v1"
"hello are you hungry?","phishing","incorrect","sklearn-v1"
"you've won! click here for your prize","phishing","correct","sklearn-v1"
